DensityX,Composition,Time s,Temperature °C,Shear Rate 1/s,Shear Stress Pa,Instantaneous Viscosity Pas,Strain  
1.74,20,29.01,25,287.9,37.36,0.1298,4488
1.74,20,31.01,25,308.2,40.61,0.1318,5109
1.74,20,33.01,25,328,37.46,0.1142,5765
1.74,20,35.01,25,347.8,37.85,0.1088,6467
1.74,20,37.01,25,367.6,33.92,0.09227,7203
1.74,20,39.01,25,387.5,34.48,0.08897,7985
1.74,20,41.01,25,407.3,33.06,0.08118,8801
1.74,20,43.01,25,427.7,31.52,0.0737,9663
1.74,20,45.01,25,447.5,31.02,0.06933,1.06E+04
1.74,20,47.01,25,467.3,32.29,0.06911,1.15E+04
1.74,20,49.01,25,487.1,30.34,0.06228,1.25E+04
1.74,20,51.01,25,506.9,30.44,0.06004,1.35E+04
1.74,20,53.01,25,526.8,29.39,0.05578,1.46E+04
1.74,20,55.01,25,547,30.27,0.05533,1.57E+04
1.74,20,57.01,25,566.9,30.73,0.0542,1.68E+04
1.74,20,59.01,25,586.7,30.3,0.05164,1.80E+04
1.74,20,61.01,25,606.5,29.52,0.04867,1.92E+04
1.74,20,63.01,25,626.3,31.08,0.04962,2.05E+04
1.74,20,65.01,25,646.6,30.46,0.04711,2.18E+04
1.74,20,67.01,25,666.4,31.24,0.04688,2.31E+04
1.74,20,69.01,25,686.3,31.01,0.04519,2.45E+04
1.74,20,71.01,25,706,30.88,0.04373,2.59E+04
1.74,20,73.01,25,725.9,30.5,0.04202,2.74E+04
1.74,20,75.01,25,745.7,31.08,0.04167,2.88E+04
1.74,20,77.01,25,766.1,31.21,0.04074,3.04E+04
1.74,20,79.01,25,785.9,30.44,0.03874,3.20E+04
1.74,20,81.01,25,805.6,30.93,0.03839,3.36E+04
1.74,20,83.01,25,825.5,30.73,0.03723,3.52E+04
1.74,20,85.01,25,845.3,29.94,0.03542,3.69E+04
1.74,20,87.01,25,865.2,30.49,0.03524,3.87E+04
1.74,20,89.01,25,885.5,30.54,0.03448,4.05E+04
1.74,20,91.01,25,905.2,30.94,0.03418,4.23E+04
1.74,20,93.01,25,925.1,30.23,0.03267,4.41E+04
1.74,20,95.01,25,944.9,30.21,0.03197,4.60E+04
1.74,20,97.01,25,964.8,30.04,0.03114,4.80E+04
1.74,20,99.01,25,985.1,30.05,0.03051,5.00E+04
